영상제목,채널명,링크
"[반장픽 모아보기] '연쇄살인' 권재찬, 1심 사형→2심 무기징역…""판사 머릿속 보고 싶다"" 오열한 유족 / JTBC 사건반장",사건반장,https://www.youtube.com/watch?v=NA0OyTpuWbA&pp=ygUG7KeV7Jet
생후 76일 딸 방치해 숨지게 한 20대 친모 징역 15년 (2023.06.23/뉴스데스크/MBC경남),엠뉴 | MBC경남 NEWS,https://www.youtube.com/watch?v=6Tds2UyEjTM&pp=ygUG7KeV7Jet
전 여친에 5일간 천번 전화…40대 스토킹범 징역 1년 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=iUwAnc_QTCc&pp=ygUG7KeV7Jet
헤어진 여친에게 5일간 1117번 전화 건 스토킹범에 징역 1년 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=dR6EFAqx5b8&pp=ygUG7KeV7Jet
"냉장고 시신 친모 영아살해죄 적절한가…""실제 최고형은 징역 2년"" [굿모닝 MBN]",MBN News,https://www.youtube.com/watch?v=dAQi4ySdFfg&pp=ygUG7KeV7Jet
영아살해죄 최고형은 징역 2년?…냉장고 시신 친모 살인죄 적용 검토 [MBN 뉴스센터],MBN News,https://www.youtube.com/watch?v=w78uDF0F4wA&pp=ygUG7KeV7Jet
전직 건달도 떨게만들었던 시청자(두뇌)징역에서 적응완료했지?보고싶다. 두뇌야!,선출이tv,https://www.youtube.com/watch?v=C01Vc5o2MXU&pp=ygUG7KeV7Jet
"프레스기계의 사고를 은폐, 교사 및 공모하면 산안법 1년이하징역, 1천만원이하벌금내세요. 2020년 10월 7일 사건  1인시위",민주화운동TV,https://www.youtube.com/watch?v=ihmsgerb_ag&pp=ygUG7KeV7Jet
턱밑 진격에 굴욕 당한 푸틴..프리고진 처벌없이 수습? [뉴스.zip/MBC뉴스],MBCNEWS,https://www.youtube.com/watch?v=m9f2VmVojLA&pp=ygUG7LKY67KM
"[속보] 모스크바 코앞서 멈춘 반란…프리고진, 러 떠나고 처벌 면해/바그너그룹 철수 시작…푸틴 리더십 타격/2023년 6월 25일(일)/KBS",KBS News,https://www.youtube.com/watch?v=RtPNq4VLH_U&pp=ygUG7LKY67KM
"러 용병 대장 ""무장반란! 러 남부 군본부 장악"" vs 푸틴 ""등에 칼 꽂아..반역자 처벌"" / 러, 전쟁에 내전까지? - [핫이슈PLAY] 2023.06.24",MBCNEWS,https://www.youtube.com/watch?v=jkzGT_3h7QI&pp=ygUG7LKY67KM
혼자 승강기 점검하던 20대 추락사...중대재해처벌법 위반 여부 조사 / YTN,YTN,https://www.youtube.com/watch?v=tpqUN04Qe5s&pp=ygUG7LKY67KM
중처법 형사처벌에 영향을 미치는 요인은??,노알남,https://www.youtube.com/watch?v=LrWQApH1H8s&pp=ygUG7LKY67KM
